NEST Equipment,Brick Class,Location,Feeds,meters,isSubmeterOf,isPartOf_equipment,isPartOf_Water_Loop,isPartOf_Electrical_System
65NT_U20M1_Y700,HVAC_Valve,Room_271,,,,,MTE_supply_subLoop ,
65NT_U20M1_M200,Water_Pump,Room_271,65NT_U20M1_Y730,,,,MTE_supply_subLoop ,
65NT_U20M1_E260,Heat_Exchanger,Room_271,,,,,MTE_supply_subLoop ,
65NT_MTM31_P890,Building_Hot_Water_Meter,Room_271,65NT_U20M1_M200,,,,MTE_supply_subLoop ,
65NT_MTM31_Y760,HVAC_Valve,Room_271,,,,,MTE_supply_subLoop ,
65NT_U20M1_Y730,HVAC_Valve,Room_271,65NT_U20M1_E260,,,,MTE_supply_subLoop ,
65NT_U20M1_Y740,HVAC_Valve,Room_271,,,,,MTE_supply_subLoop ,
,,,,,,,,
65NT_U20N1_Y700,HVAC_Valve,Room_271,,,,,NTE_supply_subLoop,
65NT_U20N1_M200,Water_Pump,Room_271,,,,,NTE_supply_subLoop,
65NT_U20N1_E260,Heat_Exchanger,Room_271,,,,,NTE_supply_subLoop,
65NT_NTM31_P890,Building_Chilled_Water_Meter,Room_271,,,,,NTE_supply_subLoop,
65NT_NTM31_Y760,HVAC_Valve,Room_271,,,,,NTE_supply_subLoop,
65NT_U20N1_Y731,HVAC_Valve,Room_271,,,,,NTE_supply_subLoop,
65NT_U20N1_Y741,HVAC_Valve,Room_271,,,,,NTE_supply_subLoop,
,,,,,,,,
65NT_U20M2_M210,Water_Pump,Room_271,65NT_U20M1_E260,,,,UMAR_RC_demand_subLoop,
,,,,,,,,
65NT_U20R1_E560,RC_Panel,Room_272,65NT_U20R1_Y100,,,,UMAR_RC_demand_subLoop,
65NT_U20R1_E561,RC_Panel,Room_273,65NT_U20R1_Y101,,,,UMAR_RC_demand_subLoop,
65NT_U20R1_E562,RC_Panel,Room_273,65NT_U20R1_Y102,,,,UMAR_RC_demand_subLoop,
65NT_U20R1_E563,RC_Panel,Room_273,65NT_U20R1_Y103,,,,UMAR_RC_demand_subLoop,
65NT_U20R1_E564,RC_Panel,Room_274,65NT_U20R1_Y104,,,,UMAR_RC_demand_subLoop,
65NT_U20R1_E565,RC_Panel,Room_275,65NT_U20R1_Y105,,,,UMAR_RC_demand_subLoop,
65NT_U20R1_E566,RC_Panel,Room_276,65NT_U20R1_Y106,,,,UMAR_RC_demand_subLoop,
,,,,,,,,
65NT_U20R1_Y100,HVAC_Valve,Room_272,65NT_U20M2_M210,,,,UMAR_RC_demand_subLoop,
